α, 03B1, a, 0, 0, 0, 0, 0
ἀ, 1F00, a, Smooth, 0, 0, 0, 0
ἄ, 1F04, a, Smooth, Acute, 0, 0, 0
ᾄ, 1F84, a, Smooth, Acute, ISub, 0, 0
ἂ, 1F02, a, Smooth, Grave, 0, 0, 0
ᾂ, 1F82, a, Smooth, Grave, ISub, 0, 0
ἆ, 1F06, a, Smooth, Circ, 0, 0, 0
ᾆ, 1F86, a, Smooth, Circ, ISub, 0, 0
ᾀ, 1F80, a, Smooth, 0, ISub, 0, 0
ἁ, 1F01, a, Rough, 0, 0, 0, 0
ἅ, 1F05, a, Rough, Acute, 0, 0, 0
ᾅ, 1F85, a, Rough, Acute, ISub, 0, 0
ἃ, 1F03, a, Rough, Grave, 0, 0, 0
ᾃ, 1F83, a, Rough, Grave, ISub, 0, 0
ἇ, 1F07, a, Rough, Circ, 0, 0, 0
ᾇ, 1F87, a, Rough, Circ, ISub, 0, 0
ᾁ, 1F81, a, Rough, 0, ISub, 0, 0
ά, 03AC, a, 0, Acute, 0, 0, 0
ᾴ, 1FB4, a, 0, Acute, ISub, 0, 0
ὰ, 1F70, a, 0, Grave, 0, 0, 0
ᾲ, 1FB2, a, 0, Grave, ISub, 0, 0
ᾶ, 1FB6, a, 0, Circ, 0, 0, 0
ᾷ, 1FB7, a, 0, Circ, ISub, 0, 0
ᾳ, 1FB3, a, 0, 0, ISub, 0, 0
ᾱ, 1FB1, a, 0, 0, 0, Macron, 0
Α, 0391, A, 0, 0, 0, 0, 0
Ἀ, 1F08, A, Smooth, 0, 0, 0, 0
Ἄ, 1F0C, A, Smooth, Acute, 0, 0, 0
ᾌ, 1F8C, A, Smooth, Acute, ISub, 0, 0
Ἂ, 1F0A, A, Smooth, Grave, 0, 0, 0
ᾊ, 1F8A, A, Smooth, Grave, ISub, 0, 0
Ἆ, 1F0E, A, Smooth, Circ, 0, 0, 0
Ἆ, 1F8E, A, Smooth, Circ, ISub, 0, 0
ᾈ, 1F88, A, Smooth, 0, ISub, 0, 0
Ἁ, 1F09, A, Rough, 0, 0, 0, 0
Ἅ, 1F0D, A, Rough, Acute, 0, 0, 0
ᾍ, 1F8D, A, Rough, Acute, ISub, 0, 0
Ἃ, 1F0B, A, Rough, Grave, 0, 0, 0
ᾋ, 1F8B, A, Rough, Grave, ISub, 0, 0
Ἇ, 1F0F, A, Rough, Circ, 0, 0, 0
ᾏ, 1F8F, A, Rough, Circ, ISub, 0, 0
ᾉ, 1F89, A, Rough, 0, ISub, 0, 0
Ά, 0386, A, 0, Acute, 0, 0, 0
Ὰ, 1FBA, A, 0, Grave, 0, 0, 0
ᾼ, 1FBC, A, 0, 0, ISub, 0, 0
Ᾱ, 1FB9, A, 0, 0, 0, Macron, 0
β, 03B2, b, 0, 0, 0, 0, 0
Β, 0392, B, 0, 0, 0, 0, 0
γ, 03B3, g, 0, 0, 0, 0, 0
Γ, 0393, G, 0, 0, 0, 0, 0
δ, 03B4, d, 0, 0, 0, 0, 0
Δ, 0394, D, 0, 0, 0, 0, 0
ε, 03B5, e, 0, 0, 0, 0, 0
ἐ, 1F10, e, Smooth, 0, 0, 0, 0
ἔ, 1F14, e, Smooth, Acute, 0, 0, 0
ἒ, 1F12, e, Smooth, Grave, 0, 0, 0
ἑ, 1F11, e, Rough, 0, 0, 0, 0
ἕ, 1F15, e, Rough, Acute, 0, 0, 0
ἓ, 1F13, e, Rough, Grave, 0, 0, 0
έ, 03AD, e, 0, Acute, 0, 0, 0
ὲ, 1F72, e, 0, Grave, 0, 0, 0
Ε, 0395, E, 0, 0, 0, 0, 0
Ἐ, 1F18, E, Smooth, 0, 0, 0, 0
Ἔ, 1F1C, E, Smooth, Acute, 0, 0, 0
Ἒ, 1F1A, E, Smooth, Grave, 0, 0, 0
Ἑ, 1F19, E, Rough, 0, 0, 0, 0
Ἕ, 1F1D, E, Rough, Acute, 0, 0, 0
Ἓ, 1F1B, E, Rough, Grave, 0, 0, 0
Έ, 0388, E, 0, Acute, 0, 0, 0
Ὲ, 1FC8, E, 0, Grave, 0, 0, 0
ζ, 03B6, z, 0, 0, 0, 0, 0
Ζ, 0396, Z, 0, 0, 0, 0, 0
η, 03B7, h, 0, 0, 0, 0, 0
ἠ, 1F20, h, Smooth, 0, 0, 0, 0
ἤ, 1F24, h, Smooth, Acute, 0, 0, 0
ᾔ, 1F94, h, Smooth, Acute, ISub, 0, 0
ἢ, 1F22, h, Smooth, Grave, 0, 0, 0
ᾒ, 1F92, h, Smooth, Grave, ISub, 0, 0
ἦ, 1F26, h, Smooth, Circ, 0, 0, 0
ᾖ, 1F96, h, Smooth, Circ, ISub, 0, 0
ᾐ, 1F90, h, Smooth, 0, ISub, 0, 0
ἡ, 1F21, h, Rough, 0, 0, 0, 0
ἥ, 1F25, h, Rough, Acute, 0, 0, 0
ᾕ, 1F95, h, Rough, Acute, ISub, 0, 0
ἣ, 1F23, h, Rough, Grave, 0, 0, 0
ᾓ, 1F93, h, Rough, Grave, ISub, 0, 0
